[pt.c] /dev/sgx-step opened!
[pt.c] /dev/mem opened!

--------------------------------------------------------------------------------
[main.c] Creating enclave...
--------------------------------------------------------------------------------

[main.c] cipher is 9334

==== System Settings ====
    Pstate max perf pct: 100
    Pstate min perf pct: 100
    Turbo Boost:         0
    cpu pinning:         1
    Designated cpu:      1
    Running on cpu:      1
==== Victim Enclave ====
    Base: 0x7fab25800000
    Size: 4194304
    Limit:  0x7fab25c00000
    TCS:  0x7fab25b7f000
    AEP:  0x4036da
    EDBGRD: debug
[main.c] Establishing user space IDT mapping
[main.c] ^^ enclave RIP=0x83b8; latency=7778
[main.c] ^^ enclave RIP=0x83bb; latency=7834
[main.c] ^^ enclave RIP=0x83be; latency=7826
[main.c] ^^ enclave RIP=0x83c1; latency=7840
[main.c] ^^ enclave RIP=0x83c4; latency=7798
[main.c] ^^ enclave RIP=0x83c7; latency=7854
[main.c] ^^ enclave RIP=0x83ca; latency=7788
[main.c] ^^ enclave RIP=0x83cd; latency=7810
[main.c] do_bsearch returned index 32767
[main.c] Caught fault 11! Restoring enclave page permissions..
[main.c] ^^ enclave RIP=0x83d4; latency=8916
[main.c] ^^ enclave RIP=0x3000; latency=8072
[main.c] ^^ enclave RIP=0x20cf; latency=8040
[main.c] ^^ enclave RIP=0x4001; latency=7830
[main.c] ^^ enclave RIP=0x4008; latency=7968
[main.c] ^^ enclave RIP=0x400f; latency=8002
[main.c] ^^ enclave RIP=0x4016; latency=8008
[main.c] ^^ enclave RIP=0x401a; latency=7964
[main.c] ^^ enclave RIP=0x5032; latency=7950
[main.c] ^^ enclave RIP=0x5008; latency=7840
[main.c] ^^ enclave RIP=0x5034; latency=7778
[main.c] ^^ enclave RIP=0x5023; latency=7938
[main.c] ^^ enclave RIP=0x5036; latency=7860
[main.c] ^^ enclave RIP=0x502d; latency=7998
[main.c] ^^ enclave RIP=0x5038; latency=7922
[main.c] ^^ enclave RIP=0x5000; latency=7862
[main.c] ^^ enclave RIP=0x5001; latency=7788
[main.c] ^^ enclave RIP=0x5008; latency=7882
[main.c] ^^ enclave RIP=0x5034; latency=7788
[main.c] ^^ enclave RIP=0x5023; latency=7922
[main.c] ^^ enclave RIP=0x5036; latency=7976
[main.c] ^^ enclave RIP=0x502d; latency=7910
[main.c] ^^ enclave RIP=0x5038; latency=7868
[main.c] ^^ enclave RIP=0x5030; latency=7828
[main.c] ^^ enclave RIP=0x5031; latency=7928
[main.c] ^^ enclave RIP=0x20d4; latency=7972
[main.c] ^^ enclave RIP=0x20de; latency=8094
[main.c] ^^ enclave RIP=0x20e8; latency=7984
[main.c] ^^ enclave RIP=0x20e9; latency=7928
[main.c] ^^ enclave RIP=0x4001; latency=7934
[main.c] ^^ enclave RIP=0x4008; latency=7848
[main.c] ^^ enclave RIP=0x400f; latency=7916
[main.c] ^^ enclave RIP=0x4016; latency=7846
[main.c] ^^ enclave RIP=0x401a; latency=7790
[main.c] ^^ enclave RIP=0x5032; latency=7860
[main.c] ^^ enclave RIP=0x5008; latency=7922
