[pt.c] /dev/sgx-step opened!
[pt.c] /dev/mem opened!

--------------------------------------------------------------------------------
[main.c] Creating enclave...
--------------------------------------------------------------------------------

[main.c] cipher is 9334

==== System Settings ====
    Pstate max perf pct: 100
    Pstate min perf pct: 100
    Turbo Boost:         0
    cpu pinning:         1
    Designated cpu:      1
    Running on cpu:      1
==== Victim Enclave ====
    Base: 0x7f9447000000
    Size: 4194304
    Limit:  0x7f9447400000
    TCS:  0x7f944737f000
    AEP:  0x4036ec
    EDBGRD: debug
[main.c] Establishing user space IDT mapping
[main.c] ^^ enclave RIP=0x514a; latency=7864
[main.c] ^^ enclave RIP=0x514c; latency=7754
[main.c] ^^ enclave RIP=0x514e; latency=8004
[main.c] ^^ enclave RIP=0x514f; latency=7938
[main.c] ^^ enclave RIP=0x6c30; latency=7804
[main.c] ^^ enclave RIP=0x6c32; latency=7710
[main.c] ^^ enclave RIP=0x6c37; latency=7896
[main.c] ^^ enclave RIP=0x6c39; latency=7994
[main.c] ^^ enclave RIP=0x6c3d; latency=7778
[main.c] ^^ enclave RIP=0x6c3f; latency=7852
[main.c] ^^ enclave RIP=0x6c40; latency=7968
[main.c] ^^ enclave RIP=0x6c41; latency=7810
[main.c] ^^ enclave RIP=0x6c43; latency=7798
[main.c] ^^ enclave RIP=0x6c45; latency=7894
[main.c] ^^ enclave RIP=0x8387; latency=7868
[main.c] ^^ enclave RIP=0x838a; latency=7784
[main.c] ^^ enclave RIP=0x8391; latency=7844
[main.c] ^^ enclave RIP=0x76fc; latency=7996
[main.c] ^^ enclave RIP=0x76ff; latency=7876
[main.c] ^^ enclave RIP=0x7706; latency=7960
[main.c] ^^ enclave RIP=0x7708; latency=7836
[main.c] ^^ enclave RIP=0x770d; latency=7796
[main.c] ^^ enclave RIP=0x7710; latency=7988
[main.c] ^^ enclave RIP=0x7713; latency=7896
[main.c] ^^ enclave RIP=0x7718; latency=7814
[main.c] ^^ enclave RIP=0x771d; latency=8172
[main.c] ^^ enclave RIP=0x7721; latency=7740
[main.c] ^^ enclave RIP=0x7727; latency=7850
[main.c] ^^ enclave RIP=0x8396; latency=7690
[main.c] ^^ enclave RIP=0x839d; latency=7706
[main.c] ^^ enclave RIP=0x83a0; latency=7914
[main.c] ^^ enclave RIP=0x83a4; latency=7672
[main.c] ^^ enclave RIP=0x83a7; latency=7806
[main.c] ^^ enclave RIP=0x83a8; latency=7804
[main.c] ^^ enclave RIP=0x83a9; latency=7742
[main.c] ^^ enclave RIP=0x83ac; latency=7882
[main.c] ^^ enclave RIP=0x83af; latency=7866
[main.c] ^^ enclave RIP=0x83b2; latency=7728
[main.c] ^^ enclave RIP=0x83b5; latency=7718
[main.c] ^^ enclave RIP=0x83b8; latency=7734
[main.c] ^^ enclave RIP=0x83bb; latency=7686
[main.c] ^^ enclave RIP=0x83be; latency=7832
[main.c] ^^ enclave RIP=0x83c1; latency=7690
[main.c] ^^ enclave RIP=0x83c4; latency=7746
[main.c] ^^ enclave RIP=0x83c7; latency=7690
[main.c] ^^ enclave RIP=0x83ca; latency=7696
[main.c] ^^ enclave RIP=0x83cd; latency=7710
[main.c] do_bsearch returned index 4
[main.c] Caught fault 11! Restoring enclave page permissions..
[main.c] ^^ enclave RIP=0x83d4; latency=8768
[main.c] ^^ enclave RIP=0x3000; latency=8002
[main.c] ^^ enclave RIP=0x2057; latency=7870
[main.c] ^^ enclave RIP=0x205c; latency=7838
[main.c] ^^ enclave RIP=0x2063; latency=7848
[main.c] ^^ enclave RIP=0x206a; latency=7880
[main.c] ^^ enclave RIP=0x206f; latency=7816
[main.c] ^^ enclave RIP=0x2074; latency=8216
[main.c] ^^ enclave RIP=0x8710; latency=7904
[main.c] ^^ enclave RIP=0x8712; latency=8010
[main.c] ^^ enclave RIP=0x8714; latency=7936
[main.c] ^^ enclave RIP=0x8716; latency=7904
[main.c] ^^ enclave RIP=0x8718; latency=7924
[main.c] ^^ enclave RIP=0x8719; latency=7884
[main.c] ^^ enclave RIP=0x871a; latency=7846
